X,Y,OBJECTID,STORENAME,ADDRESS,PHONE,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,NOTES,PRESENT09,PRESENT10,PRESENT11,PRESENT12,PRESENT13,PRESENT14,PRESENT15,PRESENT16,PRESENT17,X_COORD,Y_COORD,WARD,ADDRESS_ID,SSL,ZIPCODE,PRESENT18,GIS_ID
-77.0269805790129,38.9844552988866,1,Target ,7828 GEORGIA  AVE NW,2028923822,,,,,,,,,,,,,,,,397662.57,146280.07,Ward 4,300512,2960    0017,20012,,GroceryStorePt_1
-77.0260657546085,38.9834637018227,2,International Progresso Market,7719 GEORGIA AVE NW,2025455015,,,,,,,,,,,,,,,,397741.8,146169.97,Ward 4,285417,2961    0810,20012,,GroceryStorePt_2
-77.0277982734047,38.9677712350042,3,Jocelyn’s Market ,6404 GEORGIA AVE NW,2027227574,,,,,,,,,,,,,,,,397591.16,144428,Ward 4,285334,2945    0839,20012,,GroceryStorePt_3
-77.0764593007974,38.9655532402862,4,Magruder's,5626 CONNECTICUT AVE NW,2024644946,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,393373.92,144184.19,Ward 3,263860,1860    0013,20015,Yes,GroceryStorePt_4
-77.0749096653148,38.9646007197834,5,Safeway,5545 CONNECTICUT AVE NW,2022446097,No,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,393508.13,144078.34,Ward 3,263999,1867    0092,20015,Yes,GroceryStorePt_5
-77.0272851396928,38.962078321939,6,Walmart Supercenter,5929 GEORGIA AVE NW,2027193770,No,No,No,No,No,Georgia Ave,No,No,No,No,Yes,Yes,Yes,Yes,Yes,397635.44,143796.02,Ward 4,254296,2986    0039,20011,Yes,GroceryStorePt_6
-77.0021444681289,38.9579766930922,7,Walmart Supercenter,310 RIGGS RD NE,2027564418,No,No,No,No,No,Riggs Road,No,No,No,No,No,No,Yes,Yes,Yes,399814.33,143340.35,Ward 4,311574,3748    0052,20011,Yes,GroceryStorePt_7
-77.0213178876896,38.9566042517642,8,Tropimart International Foods,607 KENNEDY ST NW,2026272752,,,,,,,,,,,,,,,,398152.47,143188.21,Ward 4,246733,3207    0089,20011,,GroceryStorePt_8
-77.0838608276822,38.9563029882964,9,Rodman’s ,5100 WISCONSIN AVE NW,2023633466,,,,,,,,,,,,,,,,392731.53,143157.89,Ward 3,265883,1656    0009,20016,,GroceryStorePt_69
-77.0123007836538,38.9514161546653,10,Avenue Market,5010 NEW HAMPSHIRE AVE NW,2027261330,,,,,,,,,,,,,,,,398933.95,142612.14,Ward 4,306154,3403    0806,20011,,GroceryStorePt_10
-77.0792147083642,38.9491088872299,11,Whole Foods,4530 40TH ST NW,2022375800,No,No,Yes,Yes,Yes,Tenley Town location,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,393133.54,142358.92,Ward 3,265175,1770    0804,20016,Yes,GroceryStorePt_11
-77.080552496299,38.9485365777595,12,Target ,4500 WISCONSIN  AVE NW,2022925573,,,,,,,,,,,,,,,,393017.52,142295.49,Ward 3,264422,1730    0015,20016,,GroceryStorePt_12
-77.0957591117584,38.9457215516,13,Wagshal’s Market ,4845 MASSACHUSETTS AVE NW,2023630777,,,,,,,,,,,,,,,,391699.01,141984.27,Ward 3,284992,1499    0001,20016,,GroceryStorePt_13
-77.0631725104573,38.9445067759354,14,Giant,4303 CONNECTICUT AVE NW,2023648250,No,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,394523.79,141846.96,Ward 3,301784,2049    0805,20008,Yes,GroceryStorePt_70
-77.0255289707541,38.9410364720761,15,Yes! Organic,4100 GEORGIA  AVENUE NW,2022915790,No,No,No,No,No, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397786.99,141460.14,Ward 4,300492,2910    0810,20011,Yes,GroceryStorePt_14
-77.0248588316627,38.9384563707794,16,Safeway,3830 GEORGIA  AVE NW,2028821140,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397845.01,141173.71,Ward 4,225076,2905    0814,20011,Yes,GroceryStorePt_16
-76.9903974420661,38.9368242449082,17,Yes! Organic,3809 12TH ST NE,2028327715,No,No,No,No,Yes,Brookland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,400832.73,140992.28,Ward 5,30397,3925    0085,20017,Yes,GroceryStorePt_17
-77.0580161995249,38.9358594136603,18,Target ,3505 CONNECTICUT AVE NW,2028923794,,,,,,,,,,,,,,,,394970.18,140886.73,Ward 3,301779,2222    0015,20008,,GroceryStorePt_18
-77.0578868641251,38.9352427693639,19,Streets Market,3427 CONNECTICUT AVE NW ,2022449114,,,,,,,,,,,,,,,,394981.35,140818.27,Ward 3,219257,2219    0809,20008,,GroceryStorePt_19
-77.0577904942142,38.9351664266393,20,Yes! Organic,3425 CONNECTICUT AVE NW,2023631559,No,No,No,No,Yes,Cleveland Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,394989.7,140809.79,Ward 3,219254,2219    0005,20008,Yes,GroceryStorePt_20
-77.0237955747602,38.9311557230232,21,Panam Grocery,3552 14TH ST NW,2025450290,,,,,,,,,,,,,,,,397936.98,140363.25,Ward 1,243394,2688    0054,20010,,GroceryStorePt_21
-77.038544389092,38.9309434271437,22,BestWorld Super Market,3178 MOUNT PLEASANT ST NW,2022653768,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,396658.16,140340.12,Ward 1,233149,2601    0667,20010,Yes,GroceryStorePt_22
-77.0319236902472,38.9308217390914,23,Giant,1345 PARK RD NW,2027771077,No,No,No,No,Yes,Tivoli Square,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397232.21,140326.39,Ward 1,297595,2837    0079,20010,Yes,GroceryStorePt_23
-77.0382726167417,38.9302053755006,24,El Progreso Market,3158 MOUNT PLEASANT ST NW,2024621151,,,,,,,,,,,,,,,,396681.69,140258.18,Ward 1,236467,2596    1055,20010,,GroceryStorePt_24
-76.9748191515622,38.9294509712179,25,Good Food Markets,2006 RHODE ISLAND AVE NE,2022488494,,,,,,,,,,,,,,,,402183.58,140174.04,Ward 5,53027,4219    0030,20018,,GroceryStorePt_25
-77.0329860146798,38.9293082279733,26,Target,3100 14TH ST NW,2027773773,No,No,No,No,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397140.04,140158.41,Ward 1,306304,2674    0721,20010,Yes,GroceryStorePt_26
-77.0409938627999,38.9242151834871,27,Safeway,1747 COLUMBIA RD NW,2026670774,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,396445.44,139593.32,Ward 1,284083,2580    0512,20009,Yes,GroceryStorePt_27
-77.0384418623821,38.9219869413171,28,Harris Teeter,1631 KALORAMA RD,2029861415,No,No,No,No,Yes,Citadel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,396666.63,139345.87,Ward 1,284059,2572    0036,20009,Yes,GroceryStorePt_28
-77.0437109649062,38.9218044722116,29,Yes! Organic,1825 COLUMBIA RD NW,2024625150,No,No,No,No,Yes,Adams Morgan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,396209.7,139325.82,Ward 1,295011,2549    0636,20009,Yes,GroceryStorePt_29
-77.0716152331314,38.9209342809733,30,Whole Foods,2323 WISCONSIN AVE NW,2023335393,No,No,Yes,Yes,Yes,Georgetown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,393789.84,139230.75,Ward 3,284358,1299    1028,20007,Yes,GroceryStorePt_30
-76.9508811561746,38.9208509565686,31,Costco Wholesale,2441 MARKET ST NE,2022698540,No,No,No,No,No,Costco,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,404259.71,139220.21,Ward 5,309925,4327    0004,20018,Yes,GroceryStorePt_31
-77.0320853679333,38.9207621057576,32,Streets Market,2400 14TH ST NW,2022653300,No,No,No,No,No,Street's,No,No,No,No,No,Yes,Yes,Yes,Yes,397217.8,139209.69,Ward 1,234183,2661    0864,20009,Yes,GroceryStorePt_32
-77.043542076919,38.9207560561591,33,Streets Market,1864 COLUMBIA RD NW,2027580658,,,,,,,,,,,,,,,,396224.29,139209.43,Ward 1,235402,2551    0063,20009,,GroceryStorePt_33
-76.9924309344828,38.9192298057721,34,Giant,1050 BRENTWOOD RD NE,2022813900,No,No,No,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,400656.59,139039.13,Ward 5,299835,3854    0802,20018,Yes,GroceryStorePt_34
-77.0316197500875,38.9185067273602,35,Yes! Organic,2123 14TH ST NW,2022326603,No,No,No,No,Yes,U Street,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397258.09,138959.31,Ward 1,306454,0235    0204,20009,Yes,GroceryStorePt_35
-77.0686882697142,38.9173129772803,36,Trader Joe's,2101 WISCONSIN AVE NW # A,2029448403,,,,,,,,,,,,,,,,394043.36,138828.56,Ward 3,279531,1299    0321,20007,,GroceryStorePt_36
-76.9820128140313,38.9162679885429,37,Target ,1515 NEW YORK AVE NE,2029142396,,,,,,,,,,,,,,,,401560.12,138710.47,Ward 5,311951,4037    0011,20002,,GroceryStorePt_37
-77.0675609126373,38.9161258855224,38,Safeway,1855 WISCONSIN AVE NW,2023333223,Yes,No,No,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,394141.03,138696.71,Ward 2,224665,1299    1040,20007,Yes,GroceryStorePt_38
-77.0322456128733,38.9161008811198,39,Trader Joe's,1914 14TH ST NW,2029861591,No,No,No,No,No,14th Street NW,No,No,No,No,No,Yes,Yes,Yes,Yes,397203.72,138692.26,Ward 2,302384,0205    0847,20009,Yes,GroceryStorePt_39
-76.9835931863584,38.9159516682391,40,Mom's Organic Market,1501 NEW YORK AVE NE,2027913826,No,No,No,No,No,Mom's,No,No,No,No,No,Yes,Yes,Yes,Yes,401423.07,138675.33,Ward 5,311943,4037    0821,20002,Yes,GroceryStorePt_40
-77.0452000177074,38.9142848313131,41,Glen's Garden Market,2001 S ST  NW,2025885698,,,,,,,,,,,,,,,,396080.16,138491.14,Ward 2,242564,0090    0032,20009,,GroceryStorePt_41
-77.0389558279945,38.912057515959,42,Safeway,1701 CORCORAN ST NW,2026676825,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,396621.59,138243.64,Ward 2,241699,0155    0231,20009,Yes,GroceryStorePt_42
-77.0483654643336,38.9094901349361,43,Metro Supermarket,2130 P ST NW #5,2028333720,,,,,,,,,,,,,,,,395805.35,137959.03,Ward 2,298500,0068    0088,20037,,GroceryStorePt_43
-77.0221253052451,38.9087707170711,44,Giant,1400 7TH ST NW,2022380180,No,No,No,No,No,O Street Market,No,No,No,No,Yes,Yes,Yes,Yes,Yes,398081.2,137878.29,Ward 6,304153,0398    0836,20001,Yes,GroceryStorePt_44
-77.0005653694175,38.9075875827673,45,Trader Joe's,1240 4TH ST NE,0,No,No,No,No,No, ,No,No,No,No,No,No,No,No,No,399951.16,137746.72,Ward 5,285974,3587    0820,20002,No,GroceryStorePt_45
-77.0266923576239,38.9067981958319,46,Capitol Super Market,1231 11TH ST NW,2022891336,No,No,No,No,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397685.02,137659.43,Ward 2,239341,0340    0824,20001,Yes,GroceryStorePt_46
-77.0483633352644,38.9066904312142,47,Streets Market,1255 22ND ST NW,2026520843,,,,,,,,,,,,,,,,395805.37,137648.24,Ward 2,242473,0070    0198,20037,,GroceryStorePt_47
-77.0054945492568,38.9060230649165,48,Harris Teeter,1201 1ST ST NE,2029861415,No,No,No,No,No, ,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,399523.62,137573.06,Ward 6,303728,0711    0816,20002,Yes,GroceryStorePt_48
-77.0072711369923,38.9054625583105,49,Streets Market,51 M ST NE ,2028981314,,,,,,,,,,,,,,,,399369.52,137510.85,Ward 6,314143,0673    0035,20002,,GroceryStorePt_49
-77.0651503992671,38.9047675504914,50,Dean & DeLuca,3276 M ST NW,2023422500,No,No,No,No,Yes,Georgetown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,394349.18,137435.69,Ward 2,273712,1186    0800,20007,Yes,GroceryStorePt_50
-77.0530144579977,38.9041989548928,51,Trader Joe's,1101 25TH ST NW,2022961921,No,No,No,No,Yes,West End,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,395401.79,137371.89,Ward 2,303613,0025    0022,20037,Yes,GroceryStorePt_51
-77.0183549058757,38.9034968008917,52,Safeway,490 L ST NW,2027192435,No,No,No,No,Yes,Mt. Vernon Square,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,398408.1,137292.77,Ward 6,304767,0515    0158,20001,Yes,GroceryStorePt_52
-77.0490699137686,38.9009185733382,53,Whole Foods,2201 EYE ST NW,2022961660,No,No,No,No,No,Foggy Bottom,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,395743.74,137007.55,Ward 2,310098,0054    7011,20037,Yes,GroceryStorePt_53
-76.9797723166244,38.9005750820888,54,Safeway,1601 MARYLAND AVE NE,2023986903,No,No,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,401754.81,136968.47,Ward 5,297814,4493    0001,20002,Yes,GroceryStorePt_54
-77.0016470212636,38.9004378222694,55,Giant,300 H ST NE,2025485100,No,No,No,No,No,H Street NE,No,No,No,No,Yes,Yes,Yes,Yes,Yes,399857.33,136953.04,Ward 6,308511,0776    0054,20002,Yes,GroceryStorePt_55
-77.0119870632264,38.9004043382032,56,Walmart Supercenter,99 H ST NW,2027192110,No,No,No,No,No,H Street,No,No,No,No,Yes,Yes,Yes,Yes,Yes,398960.4,136949.39,Ward 6,310062,0623    0836,20001,Yes,GroceryStorePt_56
-76.9981473864413,38.9004044883214,57,Whole Foods,600 H ST NE,2024697410,No,No,No,No,No, ,No,No,No,No,No,No,No,No,Yes,400160.9,136949.34,Ward 6,311750,0858    0866,20002,Yes,GroceryStorePt_57
-77.0511437169783,38.8965343041196,58,Market at Columbia Plaza,516 23RD ST NW,2022233517,,,,,,,,,,,,,,,,395563.58,136520.96,Ward 2,298798,0033    0087,20037,,GroceryStorePt_58
-76.9955259196549,38.8847415606701,59,Trader Joe's,750 PENNSYLVANIA AVE SE,2026980190,No,No,No,No,No, ,No,No,No,No,No,No,No,No,Yes,400388.38,135210.64,Ward 6,313096,0901    0804,20003,Yes,GroceryStorePt_77
-76.9865515080303,38.8835490628555,60,Safeway,415 14TH ST SE,2025474333,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,401167.04,135078.34,Ward 6,26239,1042    0829,20003,Yes,GroceryStorePt_60
-76.9946635503182,38.8833902666177,61,Yes! Organic,410 8TH ST SE,2025469850,No,No,No,No,Yes,Capitol Hill,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,400463.21,135060.64,Ward 6,300093,0925    0026,20003,Yes,GroceryStorePt_61
-77.0047130149364,38.880285371771,62,Whole Foods Market,101 H ST SE,2024697280,,,,,,,,,,,,,,,,399591.26,134715.97,Ward 6,315544,0737    0827,20003,,GroceryStorePt_62
-76.9866249753104,38.8802096614236,63,Harris Teeter,1350 POTOMAC AVE SE,2025431040,No,No,No,No,Yes,Jenkins Row,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,401160.72,134707.64,Ward 6,303730,1045    0138,20003,Yes,GroceryStorePt_63
-77.0171618053437,38.8776215046911,64,Safeway,1100 4TH ST SW,2025549155,No,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,398511.05,134420.39,Ward 6,307170,0542    0872,20024,Yes,GroceryStorePt_64
-77.0000965513043,38.8762243023973,65,Harris Teeter,401 M ST SE,2025540164,No,No,No,No,No,Navy Yard,No,No,No,No,No,Yes,Yes,Yes,Yes,399991.82,134265.15,Ward 6,309432,0771    0811,20003,Yes,GroceryStorePt_65
-76.9666732231384,38.8590322190356,66,Safeway,2845 ALABAMA  AVE SE,2025757525,No,No,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,402892.75,132357.23,Ward 7,278282,5642    0001,20020,Yes,GroceryStorePt_66
-76.9809993309975,38.844949480177,67,Giant,1535 ALABAMA AVE SE,2026106464,No,No,No,No,Yes,Camp Simms,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,401649.66,130793.59,Ward 8,306557,5912    0818,20032,Yes,GroceryStorePt_67
-77.0265506103964,38.9695284026844,68,Safeway,6500 PINEY BRANCH RD NW,2027235644,No,No,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397699.34,144623.03,Ward 4,285341,2974    0020,20012,Yes,GroceryStorePt_68
-77.0824644975396,38.9523401615587,69,Safeway,4203 DAVENPORT ST NW,2023640290,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,392852.16,142717.87,Ward 3,301160,1672    0815,20016,No,GroceryStorePt_9
-77.0330336144517,38.9394468802695,70,Morazan Grocery Store,3928 14TH ST NW,2027237480,,,,,,,,,,,,,,,,397136.32,141283.89,Ward 4,259021,2693    0044,20011,,GroceryStorePt_15
-77.0729991621248,38.9343514937201,71,Giant,3336 WISCONSIN AVE NW,2022445922,No,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,393671.02,140720.27,Ward 3,223125,1920    0844,20016,Yes,GroceryStorePt_71
-76.9999069059571,38.9218477803563,72,Save-A-Lot,514 RHODE ISLAND AVE NE,2026363780,No,No,No,No,No, ,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,400008.27,139329.72,Ward 5,288529,3629    0007,20002,Yes,GroceryStorePt_72
-77.0959621251688,38.9174414084109,73,Safeway,4865 MACARTHUR BLVD NW,2023375649,No,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,391678.11,138844.95,Ward 3,285004,1389    0025,20007,Yes,GroceryStorePt_73
-77.0335677400704,38.9094991071177,74,Whole Foods,1440 P ST NW ,2023324300,No,No,No,Yes,Yes,Logan Circle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397088.79,137959.45,Ward 2,279174,0210    0128,20005,Yes,GroceryStorePt_74
-77.0290444232359,38.9050079456299,75,Streets Market,1221 MASSACHUSSETTS AVE NW,2024147891,,,,,,,,,,,,,,,,397480.95,137460.76,Ward 2,240918,0282    0044,20005,,GroceryStorePt_75
-76.9780318268668,38.9015692906108,76,Aldi,901 17TH ST NE,8559552534,No,No,No,No,No, ,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,401905.76,137078.87,Ward 5,308898,4488    0040,20002,Yes,GroceryStorePt_76
-76.9474571970595,38.8931397816222,77,Safeway,322 40TH ST NE,2023972802,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,404558.4,136144.21,Ward 7,295141,5051N   0840,20019,Yes,GroceryStorePt_59
-76.9727478673994,38.8741333364631,78,Yes! Organic,2323 PENNSYLVANIA AVE SE,2025821480,No,No,No,No,No, ,No,Yes,Yes,Yes,No,No,No,No,No,402365.01,134033.39,Ward 7,48543,5560    0055,20020,No,GroceryStorePt_78
-77.0248679841667,38.9197573462225,79,Whole Foods,967 FLORIDA AVE NW,2025193400,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,397861.5,139107.39,Ward 1,319123,2873    1102,20001,No,GroceryStorePt_79
